cliente_id,data_referencia,segmento,perfil_investidor,possui_app_ativo,total_transacionado_30d,total_saida_30d,ticket_medio_saida_30d,qtd_pix_30d,qtd_investimentos_30d,qtd_transacoes_30d,dias_desde_ultima_movimentacao,numero_tickets,numero_escalonamentos,media_satisfacao,media_tempo_resolucao,proxy_uso_digital
CLI000001,2026-03-31,alta_renda,conservador,0,0,0,0,0,0,0,,2,1,4.5,20.85,1.0
CLI000002,2026-03-31,alta_renda,arrojado,1,0,0,0,0,0,0,,5,4,3.0,37.833333333333336,0.2
CLI000003,2026-03-31,varejo,moderado,0,0,0,0,0,0,0,,1,0,2.0,7.4,0.0
CLI000004,2026-03-31,alta_renda,arrojado,1,0,0,0,0,0,0,,6,3,3.0,10.675,0.6666666666666666
CLI000005,2026-03-31,alta_renda,conservador,1,0,0,0,0,0,0,,4,3,4.0,22.85,0.5
CLI000006,2026-03-31,alta_renda,moderado,1,0,0,0,0,0,0,,6,5,3.75,17.733333333333334,0.6666666666666666
CLI000007,2026-03-31,alta_renda,arrojado,1,601470.45,414336.44,9007.313913043477,24,10,69,0,2,0,2.0,6.1,0.0
CLI000008,2026-03-31,alta_renda,conservador,0,0,0,0,0,0,0,,2,1,4.0,9.8,0.5
CLI000009,2026-03-31,alta_renda,arrojado,0,0,0,0,0,0,0,,3,0,4.0,37.25,0.3333333333333333
CLI000010,2026-03-31,empreendedor,conservador,1,0,0,0,0,0,0,,4,0,3.6666666666666665,28.666666666666668,0.5
CLI000011,2026-03-31,alta_renda,arrojado,1,0,0,0,0,0,0,,2,2,4.0,19.9,0.5
CLI000012,2026-03-31,varejo,arrojado,1,64187.4,59065.21,2812.6290476190475,8,9,26,0,6,2,4.0,41.76,0.6666666666666666
CLI000013,2026-03-31,alta_renda,moderado,1,0,0,0,0,0,0,,5,3,2.0,5.0,0.0
CLI000014,2026-03-31,alta_renda,moderado,1,0,0,0,0,0,0,,3,2,3.5,6.9,1.0
CLI000015,2026-03-31,varejo,moderado,0,0,0,0,0,0,0,,1,1,0,1.5,0.0
CLI000016,2026-03-31,alta_renda,arrojado,1,349040.99,232024.25,7484.653225806452,17,23,50,0,3,3,3.0,15.9,0.3333333333333333
CLI000017,2026-03-31,alta_renda,conservador,1,0,0,0,0,0,0,,6,3,3.6666666666666665,37.43333333333333,0.16666666666666666
CLI000018,2026-03-31,alta_renda,arrojado,1,0,0,0,0,0,0,,3,2,2.0,16.2,0.3333333333333333
CLI000019,2026-03-31,varejo,moderado,0,0,0,0,0,0,0,,1,0,0,0,1.0
CLI000020,2026-03-31,alta_renda,arrojado,0,0,0,0,0,0,0,,4,2,4.0,39.35,0.5
CLI000021,2026-03-31,alta_renda,moderado,0,0,0,0,0,0,0,,4,2,4.666666666666667,15.125,0.0
CLI000022,2026-03-31,alta_renda,conservador,1,0,0,0,0,0,0,,8,3,0,59.1,0.75
CLI000023,2026-03-31,alta_renda,arrojado,1,0,0,0,0,0,0,,3,2,4.0,12.266666666666666,0.3333333333333333
